IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,CollisionYear,Before/After Construction
33597368,HARDIN,US0031W,,DIXIE,AVE,37.71926787,-85.87967635,18.811,5/28/2024,1242,2,2,0,0,CLEAR,DRY,1,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
33450445,HARDIN,US0031W,,DIXIE,AVE,37.70913396,-85.87455015,18.065,5/28/2024,1753,2,1,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
33300269,HARDIN,US0031W,,DIXIE,AVE,37.7133192,-85.87658091,18.326,5/16/2024,1558,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
33597364,HARDIN,US0031W,,DIXIE,AVE,37.71737224,-85.87908361,18.686,5/15/2024,0012,2,2,0,0,CLOUDY,WET,1,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,2024,After
33202306,HARDIN,US0031W,,DIXIE,AVE,37.70892483,-85.87434221,18.047,4/24/2024,1202,2,2,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
33202261,HARDIN,US0031W,,DIXIE,AVE,37.70892816,-85.87427781,18.046,4/13/2024,1128,2,2,0,1,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
33326476,HARDIN,US0031W,,DIXIE,AVE,37.70875939,-85.87422244,18.034,4/12/2024,1510,4,1,0,0,CLEAR,DRY,1,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
33597426,HARDIN,US0031W,,DIXIE,AVE,37.70878835,-85.87399638,18.029,4/11/2024,1659,2,2,0,0,CLOUDY,WET,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
33052671,HARDIN,US0031W,,DIXIE,AVE,37.71253595,-85.87634098,18.319,3/4/2024,0415,2,2,0,0,CLEAR,DRY,1,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2024,After
32907871,HARDIN,US0031W,,DIXIE,AVE,37.70434378,-85.87137621,17.688,2/20/2024,1815,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2024,After
32871160,HARDIN,US0031W,,DIXIE,AVE,37.71861282,-85.8792626,18.769,2/15/2024,1729,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32878212,HARDIN,US0031W,,DIXIE,AVE,37.71050025,-85.87539343,18.169,2/15/2024,0931,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32891520,HARDIN,US0031W,,DIXIE,AVE,37.70488745,-85.87176255,17.721,2/13/2024,1703,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32891467,HARDIN,US0031W,,DIXIE,AVE,37.71803539,-85.87884891,18.727,2/9/2024,1548,2,2,0,0,CLOUDY,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32891519,HARDIN,US0031W,,DIXIE,AVE,37.70449513,-85.871489,17.696,2/7/2024,1651,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32907861,HARDIN,US0031W,,DIXIE,AVE,37.70977235,-85.87494883,18.114,2/6/2024,1639,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32823801,HARDIN,US0031W,,DIXIE,AVE,37.70883508,-85.87421605,18.021,2/6/2024,1235,2,2,0,2,CLOUDY,DRY,0,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32837899,HARDIN,US0031W,,DIXIE,AVE,37.70877659,-85.87429532,18.037,2/1/2024,1702,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
33740126,HARDIN,US0031W,1112,DIXIE,AVE,37.7180569,-85.87918796,18.709,1/24/2024,1758,2,2,0,0,RAINING,WET,0,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,2024,After
33070521,HARDIN,US0031W,,DIXIE,AVE,37.70425023,-85.8712087,17.677,1/22/2024,1539,3,3,0,1,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32742381,HARDIN,US0031W,,DIXIE,AVE,37.70855369,-85.87382145,18.009,1/18/2024,1002,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32692233,HARDIN,US0031W,,DIXIE,AVE,37.71931893,-85.87954654,18.817,1/5/2024,1213,2,2,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2024,After
32697499,HARDIN,US0031W,,DIXIE,AVE,37.71916551,-85.87946872,18.806,12/24/2023,1851,2,1,0,1,CLOUDY,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2023,After
32648122,HARDIN,US0031W,,DIXIE,AVE,37.70894157,-85.87436879,18.048,12/15/2023,1241,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32534923,HARDIN,US0031W,,DIXIE,AVE,37.70517116,-85.87187267,17.737,12/2/2023,1228,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32566155,HARDIN,US0031W,,DIXIE,AVE,37.70880744,-85.8739807,18.03,12/2/2023,1050,2,2,0,0,CLOUDY,DRY,0,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32512812,HARDIN,US0031W,,DIXIE,AVE,37.70422611,-85.87131454,17.683,11/4/2023,1957,2,1,0,0,CLEAR,DRY,1,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2023,After
